BRAND,CATEGORY,STORAGE_TEMP,ARTICLE_CODE,FORECAST_QTY,ACTUAL_QTY,UNIT_PRICE_AED,EXPIRY_DATE,DAYS_TO_EXPIRY
Americana Frozen,Burgers,Frozen (-18°C),AS-263,1196,1052,6.03,2/3/2026,20
Americana Cakes,Swiss Roll,Ambient,AS-434,373,1729,31.25,9/24/2025,-112
California Garden,Fava Beans,Ambient,AS-471,1997,240,71.74,1/2/2028,718
Americana Cakes,Swiss Roll,Ambient,AS-536,1018,549,83.44,1/3/2026,-11
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-188,716,1426,29.04,8/24/2026,222
Double A,A4 Paper Box,Ambient,AS-952,1418,669,27.42,11/2/2035,3579
Americana Cakes,Swiss Roll,Ambient,AS-538,1061,862,84.55,8/30/2025,-137
Americana Cakes,Swiss Roll,Ambient,AS-537,222,302,81.64,7/2/2026,169
Bic/Stabilo,Pens,Ambient,AS-259,534,1738,24.86,6/3/2035,3427
California Garden,Tuna skips,Ambient,AS-784,899,299,63.76,2/9/2027,391
California Garden,Fava Beans,Ambient,AS-694,1499,368,47.08,3/13/2027,423
Bic/Stabilo,Pens,Ambient,AS-457,1202,423,49.18,7/15/2035,3469
Bic/Stabilo,Highlighters,Ambient,AS-790,1928,676,62.36,2/19/2035,3323
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-280,230,2113,66.05,10/21/2025,-85
Double A,A4 Paper Box,Ambient,AS-256,1211,174,57.23,12/12/2035,3619
Bic/Stabilo,Pens,Ambient,AS-725,1014,277,7.16,8/8/2035,3493
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-220,1328,1093,74.39,4/22/2026,98
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-559,1091,967,52.6,3/1/2026,46
Americana Frozen,Burgers,Frozen (-18°C),AS-143,147,555,44.08,1/23/2026,9
Americana Cakes,Swiss Roll,Ambient,AS-603,1343,925,51.02,11/24/2025,-51
Americana Cakes,Swiss Roll,Ambient,AS-820,1741,191,13.14,10/26/2025,-80
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-143,1636,971,57.14,1/17/2026,3
Americana Cakes,Swiss Roll,Ambient,AS-399,1425,1044,47.82,1/29/2026,15
Americana Cakes,Pound Cake,Ambient,AS-193,1792,953,9.51,5/14/2026,120
Double A,A4 Paper Box,Ambient,AS-904,371,1056,50.89,8/7/2035,3492
Americana Cakes,Pound Cake,Ambient,AS-965,747,621,82.64,4/15/2026,91
Double A,A4 Paper Box,Ambient,AS-738,391,681,66.84,3/25/2035,3357
Americana Cakes,Pound Cake,Ambient,AS-175,461,349,75.91,12/17/2025,-28
Double A,A4 Paper Box,Ambient,AS-996,1649,133,63.55,2/28/2035,3332
Double A,A4 Paper Box,Ambient,AS-671,1032,244,20.76,12/18/2035,3625
Americana Frozen,Burgers,Frozen (-18°C),AS-426,825,300,69.06,12/15/2025,-30
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-212,488,2104,9.03,11/24/2025,-51
Americana Cakes,Swiss Roll,Ambient,AS-623,241,694,78.87,8/7/2025,-160
Double A,A4 Paper Box,Ambient,AS-266,1027,1406,51.55,8/2/2035,3487
Americana Frozen,Burgers,Frozen (-18°C),AS-623,867,1257,13.09,2/16/2026,33
Bic/Stabilo,Pens,Ambient,AS-908,578,1102,42.34,11/17/2035,3594
California Garden,Tuna skips,Ambient,AS-522,537,763,68.44,1/15/2027,366
Bic/Stabilo,Pens,Ambient,AS-121,1287,1214,52.88,2/11/2035,3315
Americana Cakes,Pound Cake,Ambient,AS-368,1997,208,71.78,9/30/2025,-106
Bic/Stabilo,Highlighters,Ambient,AS-289,504,1999,12.94,7/16/2035,3470
California Garden,Fava Beans,Ambient,AS-402,1816,636,39.03,6/25/2027,527
Double A,A4 Paper Box,Ambient,AS-188,1890,279,49.67,6/20/2035,3444
Americana Cakes,Pound Cake,Ambient,AS-202,517,1359,12.88,11/17/2025,-58
Bic/Stabilo,Highlighters,Ambient,AS-156,1441,634,29.26,11/4/2035,3581
Double A,A4 Paper Box,Ambient,AS-588,1703,290,78.02,10/27/2035,3573
Bic/Stabilo,Pens,Ambient,AS-355,617,1499,63.42,10/23/2035,3569
Double A,A4 Paper Box,Ambient,AS-215,662,1515,52.04,7/9/2035,3463
Double A,A4 Paper Box,Ambient,AS-243,1642,618,54.37,12/14/2035,3621
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-871,511,1578,32.54,12/24/2025,-21
Double A,A4 Paper Box,Ambient,AS-253,1264,1180,62.03,12/8/2035,3615
Americana Cakes,Swiss Roll,Ambient,AS-614,958,1144,26.51,10/26/2025,-80
Americana Cakes,Pound Cake,Ambient,AS-848,1662,587,8.89,9/11/2025,-125
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-226,1889,1699,15.23,9/17/2026,246
California Garden,Fava Beans,Ambient,AS-365,265,2019,45.64,9/29/2027,623
Bic/Stabilo,Highlighters,Ambient,AS-188,853,1786,26,6/25/2035,3449
Americana Cakes,Swiss Roll,Ambient,AS-240,390,1385,31.36,11/10/2025,-65
Double A,A4 Paper Box,Ambient,AS-333,1439,1736,16.56,8/15/2035,3500
California Garden,Tuna skips,Ambient,AS-922,136,318,11.66,12/15/2027,700
Americana Frozen,Burgers,Frozen (-18°C),AS-472,1486,1173,40.97,9/20/2026,249
Bic/Stabilo,Pens,Ambient,AS-273,628,293,52.99,1/30/2035,3303
Bic/Stabilo,Pens,Ambient,AS-714,679,905,8.93,6/5/2035,3429
Americana Cakes,Pound Cake,Ambient,AS-389,1457,1180,16.48,7/30/2025,-168
Bic/Stabilo,Pens,Ambient,AS-313,1728,1794,40.15,1/29/2035,3302
Double A,A4 Paper Box,Ambient,AS-200,1518,1027,65.71,7/31/2035,3485
California Garden,Fava Beans,Ambient,AS-174,1553,94,80.7,3/8/2027,418
California Garden,Fava Beans,Ambient,AS-967,1509,923,21.64,8/6/2027,569
Americana Cakes,Swiss Roll,Ambient,AS-209,1840,1365,67.3,1/20/2026,6
California Garden,Tuna skips,Ambient,AS-761,1731,552,59,8/26/2027,589
California Garden,Fava Beans,Ambient,AS-500,1899,610,14.78,5/18/2027,489
Double A,A4 Paper Box,Ambient,AS-382,1667,2168,37.56,9/14/2035,3530
Bic/Stabilo,Highlighters,Ambient,AS-643,1126,559,15.97,5/17/2035,3410
Bic/Stabilo,Highlighters,Ambient,AS-732,670,447,6.01,2/9/2035,3313
Double A,A4 Paper Box,Ambient,AS-705,1744,595,9.99,12/30/2035,3637
Double A,A4 Paper Box,Ambient,AS-270,586,661,44.71,8/27/2035,3512
Double A,A4 Paper Box,Ambient,AS-535,630,2104,26.48,4/17/2035,3380
Americana Cakes,Swiss Roll,Ambient,AS-575,1664,397,32.44,12/22/2025,-23
Americana Cakes,Pound Cake,Ambient,AS-194,438,1940,32.3,6/26/2026,163
Americana Cakes,Swiss Roll,Ambient,AS-679,1301,230,24.85,2/6/2026,23
California Garden,Tuna skips,Ambient,AS-448,1087,968,71.24,11/23/2027,678
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-817,1138,1614,83.14,2/28/2026,45
California Garden,Fava Beans,Ambient,AS-616,757,971,23.58,12/10/2027,695
Double A,A4 Paper Box,Ambient,AS-787,1163,646,77.17,3/19/2035,3351
Bic/Stabilo,Highlighters,Ambient,AS-346,1489,1234,65.62,7/7/2035,3461
Double A,A4 Paper Box,Ambient,AS-151,1185,1842,19.15,7/4/2035,3458
Bic/Stabilo,Pens,Ambient,AS-854,1245,701,72.75,10/14/2035,3560
Americana Frozen,Burgers,Frozen (-18°C),AS-125,1345,2200,67.84,1/20/2026,6
California Garden,Fava Beans,Ambient,AS-177,1762,557,32.88,12/14/2027,699
Double A,A4 Paper Box,Ambient,AS-354,284,1653,79.36,12/18/2035,3625
Bic/Stabilo,Pens,Ambient,AS-769,1746,1353,70.92,3/28/2035,3360
Double A,A4 Paper Box,Ambient,AS-386,612,1210,6.44,5/6/2035,3399
Double A,A4 Paper Box,Ambient,AS-493,1620,1430,49.23,6/11/2035,3435
Double A,A4 Paper Box,Ambient,AS-828,1295,482,65.51,7/26/2035,3480
Double A,A4 Paper Box,Ambient,AS-261,428,660,13.93,7/10/2035,3464
California Garden,Fava Beans,Ambient,AS-937,968,339,47.22,11/7/2027,662
Bic/Stabilo,Pens,Ambient,AS-396,841,1797,8.58,10/12/2035,3558
Americana Frozen,Burgers,Frozen (-18°C),AS-921,882,840,56.99,8/18/2026,216
Double A,A4 Paper Box,Ambient,AS-856,238,297,83.9,3/13/2035,3345
California Garden,Fava Beans,Ambient,AS-992,1951,100,29.84,7/7/2027,539
Americana Cakes,Pound Cake,Ambient,AS-536,1207,1613,70.7,9/21/2025,-115
Americana Frozen,Chicken Nuggets,Frozen (-18°C),AS-498,196,2013,35.11,10/24/2025,-82
Americana Frozen,Zingz Strips,Frozen (-18°C),AS-123,1523,1844,69.22,10/14/2025,-92
